control,metric,probe_minus_control,ci_low,ci_high,confidence_level,bootstrap_unit,bootstrap_samples,n_traces
current-step TF-IDF,auroc,0.13316610318265454,0.11125204295486904,0.1547673779223475,0.95,trace,2000,669
current-step TF-IDF,average_precision,0.17592569605266994,0.14636835341282836,0.2045296684045763,0.95,trace,2000,669
current-step TF-IDF,step_f1,0.25289620425843107,0.22046126958453263,0.2845769128032464,0.95,trace,2000,669
current-step TF-IDF,process_f1,0.13913833965853584,0.08959415651266057,0.1879920710732936,0.95,trace,2000,669
current-step TF-IDF,correct_rejection,0.21940928270042193,0.1446256779442149,0.295163994364087,0.95,trace,2000,669
current-step TF-IDF,error_exact,0.10185185185185186,0.05168249609512773,0.15243293445848738,0.95,trace,2000,669
current-step TF-IDF,complete_accuracy,0.14349775784753366,0.10164424514200299,0.18535127055306427,0.95,trace,2000,669
position,auroc,0.13574781163478378,0.11310028998063848,0.15715799723912702,0.95,trace,2000,669
position,average_precision,0.2224794578314272,0.1813958174823665,0.2615458543282595,0.95,trace,2000,669
position,step_f1,0.38398043533767395,0.3551372259081875,0.4115141314835097,0.95,trace,2000,669
position,process_f1,0.33919548094119295,0.2912300585611274,0.387501271244899,0.95,trace,2000,669
position,correct_rejection,0.36286919831223624,0.28634314168455133,0.4425549354726194,0.95,trace,2000,669
position,error_exact,0.25925925925925924,0.2147806004618938,0.3054314802844214,0.95,trace,2000,669
position,complete_accuracy,0.2959641255605381,0.2556053811659193,0.33781763826606875,0.95,trace,2000,669
shuffled-label hidden,auroc,0.3476557364503844,0.3188376026852987,0.37820306922851954,0.95,trace,2000,669
shuffled-label hidden,average_precision,0.4072936491161705,0.3748887970263365,0.4399018867993924,0.95,trace,2000,669
shuffled-label hidden,step_f1,0.46723323418864127,0.42976365998001675,0.5049317044788497,0.95,trace,2000,669
shuffled-label hidden,process_f1,0.21383671450151784,0.16346018407949928,0.26917088467280276,0.95,trace,2000,669
shuffled-label hidden,correct_rejection,0.3333333333333333,0.25531914893617025,0.4117647058823529,0.95,trace,2000,669
shuffled-label hidden,error_exact,0.1574074074074074,0.10304015440986966,0.21378114124730704,0.95,trace,2000,669
shuffled-label hidden,complete_accuracy,0.21973094170403587,0.17488789237668165,0.2675635276532138,0.95,trace,2000,669
