subgroup,value,n_traces,complete_trace_accuracy,error_exact,correct_rejection,complete_trace_accuracy_ci_low,complete_trace_accuracy_ci_high,error_exact_ci_low,error_exact_ci_high,correct_rejection_ci_low,correct_rejection_ci_high
source,gsm8k,84,0.5119047619047619,0.23809523809523808,0.7857142857142857,0.40476190476190477,0.6190476190476191,0.11627906976744186,0.37506944444444407,0.6578947368421053,0.9024390243902439
source,math,204,0.5,0.34710743801652894,0.7228915662650602,0.4264705882352941,0.5686274509803921,0.26356589147286824,0.43481529911735844,0.6197015425888666,0.818209200438116
source,olympiadbench,188,0.2978723404255319,0.2066115702479339,0.4626865671641791,0.23404255319148937,0.3617021276595745,0.13845528455284556,0.28182400932400925,0.33962264150943394,0.5846153846153846
source,omnimath,193,0.35751295336787564,0.32432432432432434,0.4666666666666667,0.29015544041450775,0.42487046632124353,0.25312914933168107,0.40131578947368424,0.31912475822050296,0.6136363636363636
generator,Llama-3.1-70B-Instruct,74,0.3918918918918919,0.3333333333333333,0.5882352941176471,0.28378378378378377,0.5,0.20753090435914123,0.4600079365079365,0.3329545454545461,0.8095982142857139
generator,Llama-3.1-8B-Instruct,106,0.3584905660377358,0.2631578947368421,0.6,0.2641509433962264,0.4528301886792453,0.16666666666666666,0.36363636363636365,0.4166666666666667,0.7742831541218633
generator,Meta-Llama-3-70B-Instruct,27,0.37037037037037035,0.4117647058823529,0.3,0.18518518518518517,0.5555555555555556,0.1875,0.6666666666666666,0.0,0.6
generator,Meta-Llama-3-8B-Instruct,22,0.5454545454545454,0.47058823529411764,0.8,0.3181818181818182,0.7727272727272727,0.23529411764705882,0.7058823529411765,0.3333333333333333,1.0
generator,Qwen2-1.5B-Instruct,20,0.45,0.3125,1.0,0.25,0.65,0.07692307692307693,0.5384615384615384,1.0,1.0
generator,Qwen2-72B-Instruct,58,0.3793103448275862,0.3333333333333333,0.45454545454545453,0.25862068965517243,0.5,0.18421052631578946,0.48650381150381145,0.25,0.6666666666666666
generator,Qwen2-7B-Instruct,80,0.375,0.23214285714285715,0.7083333333333334,0.275,0.475,0.1289979409746054,0.3448275862068966,0.52,0.88
generator,Qwen2.5-1.5B-Instruct,29,0.6206896551724138,0.3076923076923077,0.875,0.4482758620689655,0.7931034482758621,0.07142857142857142,0.5714285714285714,0.6875,1.0
generator,Qwen2.5-72B-Instruct,43,0.32558139534883723,0.20833333333333334,0.47368421052631576,0.18604651162790697,0.46511627906976744,0.05,0.3793103448275862,0.25,0.70594362745098
generator,Qwen2.5-7B-Instruct,69,0.43478260869565216,0.37777777777777777,0.5416666666666666,0.3188405797101449,0.5507246376811594,0.2444308943089431,0.5121951219512195,0.3333333333333333,0.7391304347826086
generator,Qwen2.5-Math-72B-Instruct,57,0.3157894736842105,0.15151515151515152,0.5416666666666666,0.19298245614035087,0.43859649122807015,0.03571428571428571,0.2857142857142857,0.3213928571428572,0.7368421052631579
generator,Qwen2.5-Math-7B-Instruct,84,0.47619047619047616,0.23809523809523808,0.7142857142857143,0.36904761904761907,0.5833333333333334,0.1111111111111111,0.375,0.5714285714285714,0.8445289855072459
final_answer_correct,0,319,0.29153605015673983,0.29153605015673983,,0.2445141065830721,0.34169278996865204,0.2445141065830721,0.34169278996865204,,
final_answer_correct,1,350,0.5057142857142857,0.2831858407079646,0.6118143459915611,0.4514285714285714,0.5543571428571424,0.19995689655172422,0.36448841510903424,0.5470068027210885,0.6733151077697577
error_position,correct,237,0.6118143459915611,,0.6118143459915611,0.5527426160337553,0.6751054852320675,,,0.5527426160337553,0.6751054852320675
error_position,early,249,0.28112449799196787,0.28112449799196787,,0.2248995983935743,0.3373493975903614,0.2248995983935743,0.3373493975903614,,
error_position,late,42,0.23809523809523808,0.23809523809523808,,0.11904761904761904,0.38095238095238093,0.11904761904761904,0.38095238095238093,,
error_position,middle,141,0.3191489361702128,0.3191489361702128,,0.24822695035460993,0.3971631205673759,0.24822695035460993,0.3971631205673759,,
trace_length_bin,Q1,224,0.49107142857142855,0.3203125,0.71875,0.42410714285714285,0.5580357142857143,0.24369199853854587,0.4,0.6309394409937888,0.8089887640449438
trace_length_bin,Q2,179,0.45251396648044695,0.34210526315789475,0.6461538461538462,0.37988826815642457,0.5251396648044693,0.25663149534830954,0.4312236548475079,0.53125,0.765625
trace_length_bin,Q3,126,0.3333333333333333,0.24444444444444444,0.5555555555555556,0.25396825396825395,0.42063492063492064,0.15730337078651685,0.34066558441558437,0.39471690590111647,0.7241594827586205
trace_length_bin,Q4,140,0.2642857142857143,0.23,0.35,0.19285714285714287,0.3357142857142857,0.15090812907776413,0.3148391812865496,0.19986111111111138,0.5
token_count_bin,Q1,168,0.5714285714285714,0.2777777777777778,0.7916666666666666,0.49404761904761907,0.6428571428571429,0.1764544279250162,0.38893229166666643,0.703670634920635,0.8709757266049185
token_count_bin,Q2,167,0.38922155688622756,0.27927927927927926,0.6071428571428571,0.31736526946107785,0.46122754491017887,0.2,0.36844476055002356,0.47538899694359543,0.735873882820258
token_count_bin,Q3,167,0.39520958083832336,0.3305785123966942,0.5652173913043478,0.32335329341317365,0.46706586826347307,0.248,0.4144199077125906,0.42495192307692314,0.7069324712643676
token_count_bin,Q4,167,0.25748502994011974,0.265625,0.23076923076923078,0.19161676646706588,0.32335329341317365,0.192,0.34146849593495937,0.10256410256410256,0.3684496567505719
