comparison,left_condition,right_condition,metric,estimate,ci_low,ci_high,favorable_direction,confidence_level,bootstrap_unit,bootstrap_samples,n_traces
N+H - N,N+H,N,auroc,0.05871696358316958,0.041410054305418,0.0745160932897564,higher,0.95,trace,1000,669
N+H - N,N+H,N,average_precision,0.08429546865261728,0.05557232249065528,0.11339870575589922,higher,0.95,trace,1000,669
N+H - N,N+H,N,log_loss,-0.07975446239713224,-0.10375921106187613,-0.05478651743234692,lower,0.95,trace,1000,669
N+H - N,N+H,N,brier_score,-0.03001987944894771,-0.03909461087618881,-0.020367250951075635,lower,0.95,trace,1000,669
N+H - N,N+H,N,error_exact,0.11574074074074073,0.0697570365745799,0.165889125821328,higher,0.95,trace,1000,669
N+H - N,N+H,N,correct_rejection,0.3839662447257384,0.32352307302231237,0.44681086424402183,higher,0.95,trace,1000,669
N+H - N,N+H,N,process_f1,0.18663914149681451,0.13969463706476423,0.23400713037850304,higher,0.95,trace,1000,669
N+H - N,N+H,N,error_within_1_accuracy,0.09027777777777773,0.032626495905941647,0.14630583732895025,higher,0.95,trace,1000,669
N+H - N,N+H,N,error_within_2_accuracy,0.01157407407407407,-0.038320574162679366,0.06532177669472751,higher,0.95,trace,1000,669
N+H - N,N+H,N,complete_accuracy,0.210762331838565,0.1704035874439462,0.24962630792227206,higher,0.95,trace,1000,669
O+H - O,O+H,O,auroc,0.03477821360851496,0.024190294665345398,0.0451040202271384,higher,0.95,trace,1000,669
O+H - O,O+H,O,average_precision,0.028808666286982865,0.01678242628533441,0.0424331695768287,higher,0.95,trace,1000,669
O+H - O,O+H,O,log_loss,-0.05551844436757253,-0.07732289600428661,-0.03371817441052841,lower,0.95,trace,1000,669
O+H - O,O+H,O,brier_score,-0.023131246296978963,-0.030777020753656636,-0.015554562416990752,lower,0.95,trace,1000,669
O+H - O,O+H,O,error_exact,0.12499999999999997,0.07690930787589503,0.1735809893905749,higher,0.95,trace,1000,669
O+H - O,O+H,O,correct_rejection,0.012658227848101333,-0.032786885245901565,0.057626327878265916,higher,0.95,trace,1000,669
O+H - O,O+H,O,process_f1,0.15979634140123988,0.09717155544741965,0.2178861797477864,higher,0.95,trace,1000,669
O+H - O,O+H,O,error_within_1_accuracy,0.12962962962962965,0.0812017970696915,0.18287254594820382,higher,0.95,trace,1000,669
O+H - O,O+H,O,error_within_2_accuracy,0.12268518518518512,0.08199883443680404,0.163896460418208,higher,0.95,trace,1000,669
O+H - O,O+H,O,complete_accuracy,0.08520179372197312,0.05082212257100149,0.12107623318385646,higher,0.95,trace,1000,669
