layer,split,c_value,auroc,average_precision,paired_accuracy
0,validation,0.01,0.5244309570071243,0.5187027440152002,0.5335917312661499
0,test,0.01,0.5091308864265928,0.5058834456064255,0.5236842105263158
1,validation,0.1,0.652591657819709,0.6677543328098151,0.6718346253229974
1,test,0.1,0.6935941828254849,0.689985591349628,0.6842105263157895
2,validation,0.01,0.6947365609705612,0.686436175750079,0.7260981912144703
2,test,0.01,0.7146606648199446,0.705302973009962,0.7289473684210527
3,validation,0.01,0.7200889369629229,0.7064329909646825,0.7674418604651163
3,test,0.01,0.731876731301939,0.7336320644514057,0.7105263157894737
4,validation,0.01,0.7253704037551161,0.700749501127568,0.7441860465116279
4,test,0.01,0.7315512465373961,0.7344617989384369,0.718421052631579
5,validation,0.01,0.7208634630664557,0.7108834689987722,0.710594315245478
5,test,0.01,0.7316343490304709,0.7210972908095916,0.7526315789473684
6,validation,0.01,0.7269929024030342,0.7080147338082317,0.7260981912144703
6,test,0.01,0.7246745152354571,0.7326414347035054,0.7236842105263158
7,validation,0.01,0.7063611294727212,0.6794875954043645,0.7028423772609819
7,test,0.01,0.7252216066481996,0.7263102763826117,0.7236842105263158
8,validation,0.01,0.728635431898457,0.7030950355316027,0.7338501291989664
8,test,0.01,0.7212534626038781,0.7252566910966755,0.7236842105263158
9,validation,0.01,0.7247761552791299,0.7036522360873816,0.7364341085271318
9,test,0.01,0.7254847645429363,0.728134783411563,0.7368421052631579
10,validation,0.01,0.7314931661425259,0.7073735834845384,0.7286821705426356
10,test,0.01,0.7451523545706371,0.7405769645845701,0.7342105263157894
11,validation,0.01,0.7147874393232244,0.6872599341813175,0.7131782945736435
11,test,0.01,0.775657894736842,0.778268290086831,0.781578947368421
12,validation,0.01,0.7191408101810122,0.6955503062377131,0.7054263565891473
12,test,0.01,0.7507063711911357,0.7507663400747145,0.7394736842105263
13,validation,0.01,0.7342507461490697,0.7079602609770533,0.7260981912144703
13,test,0.01,0.7588157894736842,0.7640460533034665,0.7447368421052631
14,validation,0.01,0.7258912057902503,0.6946693978403904,0.7183462532299741
14,test,0.01,0.7681578947368422,0.7601900026785203,0.7710526315789473
15,validation,0.01,0.7336965593680935,0.7179036453274297,0.7441860465116279
15,test,0.01,0.7673753462603878,0.7391054404143589,0.7710526315789473
16,validation,0.01,0.7440591844774285,0.7177795743776854,0.7441860465116279
16,test,0.01,0.7834695290858726,0.7626797446649738,0.7789473684210526
17,validation,0.01,0.7442594929524802,0.7171082687773902,0.7416020671834626
17,test,0.01,0.7752493074792244,0.7721433650776005,0.7684210526315789
18,validation,0.01,0.7422497312527959,0.7237393069893487,0.7571059431524548
18,test,0.01,0.787797783933518,0.771789111381136,0.781578947368421
19,validation,0.01,0.7407808024357512,0.7259396464904025,0.7390180878552972
19,test,0.01,0.782680055401662,0.7648654684646973,0.7710526315789473
20,validation,0.01,0.7413416661658955,0.7303111040261052,0.7338501291989664
20,test,0.01,0.7838573407202217,0.7663303073095765,0.7736842105263158
21,validation,0.01,0.755623660437073,0.7372219079837352,0.7855297157622739
21,test,0.01,0.7689127423822715,0.7408506099873439,0.7526315789473684
22,validation,0.01,0.7348449946250559,0.7238983114048436,0.7571059431524548
22,test,0.01,0.768746537396122,0.7508827764594639,0.7578947368421053
23,validation,0.01,0.7545086099259526,0.7429978394766243,0.7777777777777778
23,test,0.01,0.7603808864265929,0.7268274857391857,0.7421052631578947
24,validation,0.01,0.7482656624535118,0.7372055149607585,0.7493540051679587
24,test,0.01,0.7565373961218838,0.7458964712275349,0.75
25,validation,0.01,0.747784922113388,0.7387389342637987,0.7467700258397932
25,test,0.01,0.7453947368421053,0.7408738886939552,0.7552631578947369
26,validation,0.01,0.7311392878366016,0.7140452209422803,0.7209302325581395
26,test,0.01,0.7592105263157896,0.7626582307812297,0.7657894736842106
27,validation,0.01,0.7274269040989791,0.7179805128906951,0.7260981912144703
27,test,0.01,0.7469944598337951,0.7526773602495445,0.7421052631578947
28,validation,0.01,0.72775407460823,0.7165208886580958,0.7209302325581395
28,test,0.01,0.7288573407202217,0.7428799979071143,0.7473684210526316
