statistic,scope,value,status,alpha,estimate,ci_low,ci_high,n_traces,random_mean,empirical_p,n_random_directions
paired_effect,overall,all,reported,-4.0,0.0002066665329039059,-0.0019408945605391633,0.0022274321992881525,256,,,
paired_effect,overall,all,reported,-2.0,0.0009219078347086872,-0.0012328052136581352,0.0029762391088297524,256,,,
paired_effect,overall,all,reported,-1.0,-0.0016045469092205152,-0.003551761337439522,0.0004970630834577545,256,,,
paired_effect,overall,all,reported,0.0,0.0,0.0,0.0,256,,,
paired_effect,overall,all,reported,1.0,-0.0012014183448627582,-0.0034164811717346238,0.0007766062888549624,256,,,
paired_effect,overall,all,reported,2.0,-0.0004472541622817501,-0.002403323806356634,0.0015351333771832245,256,,,
paired_effect,overall,all,reported,4.0,-0.00046636222396045576,-0.002607232017908235,0.0016791159636341075,256,,,
paired_effect,starting_class,0,reported,-4.0,-8.777435868978774e-05,-0.0029311501537449625,0.002761894918512547,128,,,
paired_effect,starting_class,0,reported,-2.0,0.0001355255953967543,-0.002730284660356114,0.0027839705056976454,128,,,
paired_effect,starting_class,0,reported,-1.0,-0.0026632631197571702,-0.005612569529330344,0.00029344294453039816,128,,,
paired_effect,starting_class,0,reported,0.0,0.0,0.0,0.0,128,,,
paired_effect,starting_class,0,reported,1.0,-0.0012005397584289304,-0.004204899893375107,0.0015879388083703731,128,,,
paired_effect,starting_class,0,reported,2.0,-0.0008716508746147132,-0.0034083782229572465,0.00145363355986774,128,,,
paired_effect,starting_class,0,reported,4.0,-0.002228652825579039,-0.004948518419405431,0.0006355797871947333,128,,,
paired_effect,starting_class,1,reported,-4.0,0.0005011074244975994,-0.002622451988281683,0.003767346008680746,128,,,
paired_effect,starting_class,1,reported,-2.0,0.0017082900740206211,-0.0012322039227001323,0.0047430234029889025,128,,,
paired_effect,starting_class,1,reported,-1.0,-0.0005458306986838601,-0.0036821157496888146,0.0027184408449102107,128,,,
paired_effect,starting_class,1,reported,0.0,0.0,0.0,0.0,128,,,
paired_effect,starting_class,1,reported,1.0,-0.0012022969312965863,-0.004211819701595232,0.001829779782565304,128,,,
paired_effect,starting_class,1,reported,2.0,-2.2857449948786388e-05,-0.0031518339645117467,0.0031865372497122714,128,,,
paired_effect,starting_class,1,reported,4.0,0.001295928377658127,-0.0016416236932855024,0.004220227996120222,128,,,
paired_effect,source,gsm8k,reported,-4.0,0.003033968033613966,-0.002765355838669679,0.008524246569032994,27,,,
paired_effect,source,gsm8k,reported,-2.0,0.0066163330166428,0.0018582116398546452,0.012707463348353315,27,,,
paired_effect,source,gsm8k,reported,-1.0,0.0014459689458211258,-0.0044731620561193385,0.007381155314268871,27,,,
paired_effect,source,gsm8k,reported,0.0,0.0,0.0,0.0,27,,,
paired_effect,source,gsm8k,reported,1.0,-0.0023799792484000886,-0.007890350592357131,0.002781876424948367,27,,,
paired_effect,source,gsm8k,reported,2.0,-0.0007226378829390923,-0.006346330957280258,0.005065200753785933,27,,,
paired_effect,source,gsm8k,reported,4.0,0.0007616700949492299,-0.005109421384555306,0.0067410166340845495,27,,,
paired_effect,source,math,reported,-4.0,-0.00022403934063056026,-0.0038668797948421562,0.003441709843583583,78,,,
paired_effect,source,math,reported,-2.0,-0.000804043733156645,-0.0038139231216448933,0.0018932573401775033,78,,,
paired_effect,source,math,reported,-1.0,-0.0014757089889966542,-0.004955305713109477,0.002106403167813245,78,,,
paired_effect,source,math,reported,0.0,0.0,0.0,0.0,78,,,
paired_effect,source,math,reported,1.0,-0.0010351531016520948,-0.004529651502768192,0.0024784540996337584,78,,,
paired_effect,source,math,reported,2.0,0.0005545237889656628,-0.002596894231362217,0.003911611093924583,78,,,
paired_effect,source,math,reported,4.0,-0.00024245755794720768,-0.0035766511964492216,0.00312070417671631,78,,,
paired_effect,source,olympiadbench,reported,-4.0,-0.0016063858528394947,-0.005141200689045155,0.0018192373820253235,74,,,
paired_effect,source,olympiadbench,reported,-2.0,-0.0018496702651719732,-0.0060924011408477075,0.0022171582523229896,74,,,
