control,auroc,average_precision,balanced_accuracy,precision,recall,specificity,step_f1,brier_score,log_loss,expected_calibration_error,error_accuracy,correct_accuracy,process_f1,first_error_exact,error_detection_rate,error_miss_rate,correct_false_alarm_rate,early_detection_rate,on_time_detection_rate,late_detection_rate,mean_signed_localization_error,mean_absolute_localization_error,error_within_0_accuracy,error_within_1_accuracy,error_within_2_accuracy,threshold,train_source,test_source
domain transfer,0.8174528963485903,0.7310497355788704,0.7126092851465706,0.6417910447761194,0.589041095890411,0.8361774744027304,0.6142857142857142,0.17553519991415548,0.5168698036873309,0.12029821950599699,0.16666666666666666,0.5238095238095238,0.2528735632183908,0.34523809523809523,0.8809523809523809,0.11904761904761904,0.47619047619047616,0.09523809523809523,0.16666666666666666,0.6190476190476191,0.8378378378378378,1.2702702702702702,0.16666666666666666,0.5714285714285714,0.8095238095238095,0.615,gsm8k,gsm8k
domain transfer,0.802116115496397,0.7378881298420251,0.722289936198387,0.6216216216216216,0.7693661971830986,0.6752136752136753,0.6876475216365067,0.21334240609877453,0.6530172112385215,0.16602858885943755,0.2809917355371901,0.21686746987951808,0.24480000000000005,0.2549019607843137,0.9504132231404959,0.049586776859504134,0.7831325301204819,0.2892561983471074,0.2809917355371901,0.38016528925619836,0.11304347826086956,1.2260869565217392,0.2809917355371901,0.7024793388429752,0.8429752066115702,0.615,gsm8k,math
domain transfer,0.7532226956716752,0.6604682769148662,0.6902145473574045,0.5685279187817259,0.8163265306122449,0.5641025641025641,0.6702573309395572,0.2519259757601695,0.7788794725526158,0.21035207338131667,0.3884297520661157,0.029850746268656716,0.0554408728988499,0.26063829787234044,0.9917355371900827,0.008264462809917356,0.9701492537313433,0.24793388429752067,0.3884297520661157,0.35537190082644626,-0.31666666666666665,1.4833333333333334,0.3884297520661157,0.6942148760330579,0.8347107438016529,0.615,gsm8k,olympiadbench
domain transfer,0.7906681881577278,0.7725672794444736,0.7139695023188453,0.7109004739336493,0.7682458386683739,0.6596931659693166,0.7384615384615385,0.19512488792011282,0.6057283623519665,0.09801443950190156,0.2702702702702703,0.08888888888888889,0.13377926421404682,0.22797927461139897,0.9932432432432432,0.006756756756756757,0.9111111111111111,0.27702702702702703,0.2702702702702703,0.44594594594594594,0.2857142857142857,1.4965986394557824,0.2702702702702703,0.6148648648648649,0.7972972972972973,0.615,gsm8k,omnimath
domain transfer,0.7754219458600216,0.6798334001066464,0.6627588947589883,0.7857142857142857,0.3767123287671233,0.9488054607508533,0.5092592592592593,0.1736293704569759,0.5240547235851909,0.0801958398085173,0.11904761904761904,0.8571428571428571,0.20905923344947733,0.4880952380952381,0.5476190476190477,0.4523809523809524,0.14285714285714285,0.09523809523809523,0.11904761904761904,0.3333333333333333,1.0,1.434782608695652,0.11904761904761904,0.3333333333333333,0.4523809523809524,0.6,math,gsm8k
domain transfer,0.8767433661799859,0.8389850086098656,0.7999653906344047,0.765017667844523,0.7623239436619719,0.8376068376068376,0.763668430335097,0.14525969904561292,0.4480373928784557,0.07705466047432448,0.371900826446281,0.5180722891566265,0.4329827701946744,0.43137254901960786,0.8925619834710744,0.10743801652892562,0.4819277108433735,0.21487603305785125,0.371900826446281,0.30578512396694213,0.07407407407407407,1.0740740740740742,0.371900826446281,0.6528925619834711,0.8016528925619835,0.6,math,math
domain transfer,0.7887373850639158,0.7428022217635473,0.7128504148912311,0.6409574468085106,0.7026239067055393,0.7230769230769231,0.670375521557719,0.20184973374897924,0.590522174130549,0.11667494058258898,0.2809917355371901,0.2537313432835821,0.26666666666666666,0.2712765957446808,0.9752066115702479,0.024793388429752067,0.746268656716418,0.21487603305785125,0.2809917355371901,0.4793388429752066,0.3644067796610169,1.9576271186440677,0.2809917355371901,0.5619834710743802,0.71900826446281,0.6,math,olympiadbench
domain transfer,0.8578441614566312,0.8595092686746727,0.7772229930872161,0.7781908302354399,0.8040973111395646,0.7503486750348675,0.7909319899244331,0.15830461670826845,0.49075757731651226,0.06729080141469426,0.28378378378378377,0.3111111111111111,0.2968197879858657,0.29015544041450775,0.9662162162162162,0.033783783783783786,0.6888888888888889,0.2905405405405405,0.28378378378378377,0.3918918918918919,0.13286713286713286,1.3216783216783217,0.28378378378378377,0.6283783783783784,0.8175675675675675,0.6,math,omnimath
domain transfer,0.7393520033662162,0.6085317113403217,0.5856631913600449,0.7837837837837838,0.19863013698630136,0.9726962457337884,0.3169398907103825,0.19790858679053663,0.6125710081807783,0.12365152657796698,0.16666666666666666,0.8571428571428571,0.27906976744186046,0.5119047619047619,0.5,0.5,0.14285714285714285,0.023809523809523808,0.16666666666666666,0.30952380952380953,1.5714285714285714,1.6666666666666667,0.16666666666666666,0.2857142857142857,0.35714285714285715,0.63,olympiadbench,gsm8k
domain transfer,0.8522932466594438,0.8201606213266533,0.7522162891881201,0.8104265402843602,0.602112676056338,0.9023199023199023,0.6909090909090909,0.15229293544006617,0.46509029653090905,0.04910844754578744,0.2644628099173554,0.5783132530120482,0.36294896030245744,0.39215686274509803,0.859504132231405,0.14049586776859505,0.42168674698795183,0.1322314049586777,0.2644628099173554,0.4628099173553719,0.875,1.3942307692307692,0.2644628099173554,0.5867768595041323,0.6942148760330579,0.63,olympiadbench,math
domain transfer,0.8044015848097481,0.7515760078256024,0.7273925394333558,0.715702479338843,0.6311953352769679,0.8235897435897436,0.6707978311386522,0.18529768991167328,0.5521451335615408,0.08623470098242275,0.256198347107438,0.3880597014925373,0.30863488416618795,0.30319148936170215,0.9421487603305785,0.05785123966942149,0.6119402985074627,0.1322314049586777,0.256198347107438,0.5537190082644629,1.1403508771929824,2.0526315789473686,0.256198347107438,0.49586776859504134,0.6446280991735537,0.63,olympiadbench,olympiadbench
domain transfer,0.8678892168785505,0.8811545373956351,0.7795088012543372,0.8088033012379643,0.7528809218950064,0.806136680613668,0.779840848806366,0.15087456814380593,0.4584570321708719,0.04177677108821783,0.2905405405405405,0.4444444444444444,0.3513789581205311,0.32642487046632124,0.9594594594594594,0.04054054054054054,0.5555555555555556,0.20945945945945946,0.2905405405405405,0.4594594594594595,0.4154929577464789,1.471830985915493,0.2905405405405405,0.6013513513513513,0.7567567567567568,0.63,olympiadbench,omnimath
domain transfer,0.7676609472158585,0.6478639133338684,0.6250759736313058,0.7678571428571429,0.2945205479452055,0.9556313993174061,0.4257425742574258,0.19987579315941464,0.682634703113239,0.1522477268272816,0.16666666666666666,0.7857142857142857,0.27499999999999997,0.47619047619047616,0.5476190476190477,0.4523809523809524,0.21428571428571427,0.023809523809523808,0.16666666666666666,0.35714285714285715,1.3478260869565217,1.434782608695652,0.16666666666666666,0.30952380952380953,0.42857142857142855,0.5149999999999999,omnimath,gsm8k
domain transfer,0.8589786582744329,0.8248721674205103,0.761033078814769,0.8365853658536585,0.6038732394366197,0.9181929181929182,0.7014314928425358,0.15195328316855736,0.4785576428502052,0.06697362939717756,0.256198347107438,0.6746987951807228,0.37137661782008763,0.4264705882352941,0.7768595041322314,0.2231404958677686,0.3253012048192771,0.12396694214876033,0.256198347107438,0.39669421487603307,0.6595744680851063,1.2765957446808511,0.256198347107438,0.5371900826446281,0.6528925619834711,0.5149999999999999,omnimath,math
