layer,split,c_value,l1_ratio,threshold,auroc,average_precision,balanced_accuracy,precision,recall,specificity,step_f1,brier_score,log_loss,expected_calibration_error,error_accuracy,correct_accuracy,process_f1,first_error_exact,error_detection_rate,error_miss_rate,correct_false_alarm_rate,early_detection_rate,on_time_detection_rate,late_detection_rate,mean_signed_localization_error,mean_absolute_localization_error,error_within_0_accuracy,error_within_1_accuracy,error_within_2_accuracy
0,validation,0.1,,0.6,0.6866105028974779,0.5821662820448026,0.6048801135271529,0.6171232876712329,0.4104783599088838,0.7992818671454219,0.4930232558139534,0.22236163355270305,0.6345967238663317,0.05171184348199093,0.07882882882882883,0.3562231759656652,0.12909103028417804,0.17429837518463812,0.7027027027027027,0.2972972972972973,0.6437768240343348,0.10135135135135136,0.07882882882882883,0.5225225225225225,1.7884615384615385,2.75,0.07882882882882883,0.18018018018018017,0.3063063063063063
0,test,0.1,,0.6,0.6929165023307896,0.5872973688883123,0.6117174914201956,0.6255144032921811,0.41815680880330125,0.8052781740370899,0.5012366034624897,0.22119447995088456,0.6321001023428319,0.05498713095240371,0.06018518518518518,0.4050632911392405,0.10479909308477138,0.18236173393124067,0.7037037037037037,0.2962962962962963,0.5949367088607594,0.10416666666666667,0.06018518518518518,0.5393518518518519,1.8717105263157894,2.6151315789473686,0.06018518518518518,0.17824074074074073,0.3263888888888889
0,test_error_traces,0.1,,0.6,0.7898481562351631,0.8517206015242967,0.6620508977468148,0.8958742632612967,0.41815680880330125,0.9059449866903283,0.570178180681463,0.20018066809086132,0.5900437378632529,0.16244002320594275,0.06018518518518518,,0.0,0.06018518518518518,0.7037037037037037,0.2962962962962963,,0.10416666666666667,0.06018518518518518,0.5393518518518519,1.8717105263157894,2.6151315789473686,0.06018518518518518,0.17824074074074073,0.3263888888888889
1,validation,0.01,,0.595,0.8012607402984585,0.7546737628108389,0.7160806958854586,0.7317608337904553,0.607744874715262,0.8244165170556553,0.6640119462419114,0.18159543468646314,0.5385497129952143,0.035889289720218424,0.22297297297297297,0.4978540772532189,0.30800177012511565,0.3175775480059084,0.8243243243243243,0.17567567567567569,0.5021459227467812,0.18468468468468469,0.22297297297297297,0.4166666666666667,0.7103825136612022,1.6666666666666667,0.22297297297297297,0.49324324324324326,0.6418918918918919
1,test,0.01,,0.595,0.8117575861038236,0.758929168203209,0.7257836777355464,0.7284663865546218,0.635946813388354,0.8156205420827389,0.6790697674418605,0.17779307934764418,0.5292901563471903,0.047183063246651766,0.2013888888888889,0.459915611814346,0.28011874695378614,0.2929745889387145,0.8402777777777778,0.1597222222222222,0.540084388185654,0.1875,0.2013888888888889,0.4513888888888889,0.71900826446281,1.7493112947658402,0.2013888888888889,0.44907407407407407,0.6157407407407407
1,test_error_traces,0.01,,0.595,0.8457518286305014,0.8983200707124643,0.7465448352656056,0.8959948320413437,0.635946813388354,0.8571428571428571,0.7438991686779297,0.16368030879901643,0.498091910280049,0.12755778800799683,0.2013888888888889,,0.0,0.2013888888888889,0.8402777777777778,0.1597222222222222,,0.1875,0.2013888888888889,0.4513888888888889,0.71900826446281,1.7493112947658402,0.2013888888888889,0.44907407407407407,0.6157407407407407
2,validation,0.01,,0.57,0.8203797597771989,0.7821376654942394,0.741969467084896,0.7326781326781326,0.6792710706150342,0.8046678635547576,0.7049645390070922,0.1731452968593207,0.5185569663008971,0.040062408095724894,0.24549549549549549,0.45064377682403434,0.3178416207284391,0.31610044313146235,0.8693693693693694,0.13063063063063063,0.5493562231759657,0.21846846846846846,0.24549549549549549,0.40540540540540543,0.5414507772020726,1.5829015544041452,0.24549549549549549,0.536036036036036,0.6824324324324325
2,test,0.01,,0.57,0.8319200447909287,0.7915997609271899,0.7409391247585653,0.7180825818699573,0.6937184777624943,0.7881597717546363,0.7056902985074628,0.1682807091543893,0.5052526567787323,0.048183289198149695,0.2569444444444444,0.4008438818565401,0.31315426076885383,0.30792227204783257,0.8981481481481481,0.10185185185185185,0.5991561181434599,0.22453703703703703,0.2569444444444444,0.4166666666666667,0.5025773195876289,1.6778350515463918,0.2569444444444444,0.4861111111111111,0.6736111111111112
2,test_error_traces,0.01,,0.57,0.8512400594470191,0.9063109464352118,0.7545788484642107,0.8791400348634515,0.6937184777624943,0.8154392191659272,0.7754997437211686,0.1572533765980983,0.48020158089607784,0.11080992698412621,0.2569444444444444,,0.0,0.2569444444444444,0.8981481481481481,0.10185185185185185,,0.22453703703703703,0.2569444444444444,0.4166666666666667,0.5025773195876289,1.6778350515463918,0.2569444444444444,0.4861111111111111,0.6736111111111112
3,validation,0.01,,0.605,0.8211867186317852,0.7831930114235296,0.7303157576178928,0.7482327351821643,0.626879271070615,0.8337522441651706,0.6822012890431334,0.1726060348807626,0.5166439205362686,0.03565802520752212,0.21621621621621623,0.5236051502145923,0.30605205393540297,0.32200886262924666,0.831081081081081,0.16891891891891891,0.47639484978540775,0.18018018018018017,0.21621621621621623,0.4346846846846847,0.7073170731707317,1.5311653116531165,0.21621621621621623,0.5135135135135135,0.6711711711711712
